budget_mode,question_id,question,gold_answer,selected_method,workflow_id,utility_total,em,f1_proxy
low,dev_403,"Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?",Natürlich die Nelli,gated_bandit_router,W3,1.084,1.0,1.0
low,dev_168,Where was the place of death of Tamatoa Vi's father?,Huahine,gated_bandit_router,W3,-0.0476,0.0,0.0
low,dev_197,Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,Franz Joseph I,gated_bandit_router,W3,0.3299,0.0,0.3333
low,dev_302,Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?,State of Arizona,gated_bandit_router,W1,-0.013,0.0,0.0
low,dev_186,"Which film has the director died first, Edge Of Doom or A Mother'S Secret?",A Mother'S Secret,gated_bandit_router,W1,-0.0121,0.0,0.0
low,dev_349,Who is the paternal grandfather of John Ii Of Baden?,"Bernard I, Margrave of Baden-Baden",gated_bandit_router,W3,-0.0521,0.0,0.0
low,dev_367,"Which film has the director born first, Şaban, Son Of Şaban or East/West?",Şabanoğlu Şaban,gated_bandit_router,W1,-0.0118,0.0,0.0
low,dev_39,"Who was born later, D'Arcy Coulson or Thomas William Adams?",D'Arcy Coulson,gated_bandit_router,W1,1.1535,1.0,1.0
low,dev_43,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",Louis-Alexandre Berthier,gated_bandit_router,W3,0.268,0.0,0.25
low,dev_216,"Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?",yes,gated_bandit_router,W3,-0.0418,0.0,0.0
low,dev_508,"Which film has the director died earlier, Dynamite Smith or A Son Of Satan?",Dynamite Smith,gated_bandit_router,W1,-0.0123,0.0,0.0
low,dev_243,When was the company that published Woman'S Century founded?,"October 27, 1893",gated_bandit_router,W3,-0.0419,0.0,0.0
low,dev_140,Where was the father of Eleonora Di Garzia Di Toledo born?,Villafranca del Bierzo,gated_bandit_router,W3,-0.0566,0.0,0.0
low,dev_383,"Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?",Idols of the Radio,gated_bandit_router,W1,-0.0135,0.0,0.0
low,dev_557,Where was the place of death of the director of film Quatre-Vingt-Treize (Film)?,"Paris, France",gated_bandit_router,W3,-0.0659,0.0,0.0
low,dev_359,What is the date of death of the director of film Escándalo De Estrellas?,"August 7, 2004",gated_bandit_router,W3,-0.0429,0.0,0.0
low,dev_257,Where does the director of film Ghost In The Machine (Film) work at?,McGill University College of British Columbia,gated_bandit_router,W3,-0.0461,0.0,0.0
low,dev_423,Why did the performer of song Ludlow Massacre (Song) die?,Huntington’s disease,gated_bandit_router,W1,-0.0201,0.0,0.0
low,dev_163,What is the place of birth of the performer of song I Wish (Gabrielle Song)?,Hackney,gated_bandit_router,W1,-0.0119,0.0,0.0
low,dev_553,Where was the mother of Louise Sophie Of Hanau-Lichtenberg born?,Strossburi,gated_bandit_router,W1,-0.0115,0.0,0.0
low,dev_455,"Which film has the director who was born later, The Daughter Of Rosie O'Grady or The Whistle (Film)?",Daughter of Rosie O'Grady,gated_bandit_router,W1,-0.0126,0.0,0.0
low,dev_509,Which country the director of film West 32Nd is from?,U.S.A.,gated_bandit_router,W3,-0.0497,0.0,0.0
low,dev_145,"Which film whose director is younger, Joe Palooka In Fighting Mad or Figaro-Ci, Figaro-Là?","Figaro-ci, Figaro-là",gated_bandit_router,W1,1.1529,1.0,1.0
low,dev_594,"Which film has the director born first, 84 Charing Cross Road (Film) or Emperor'S Ball?",Emperor'S Ball,gated_bandit_router,W1,-0.0133,0.0,0.0
low,dev_44,Where was the husband of Caterina Visconti born?,Pavia,gated_bandit_router,W3,-0.0207,0.0,0.0
low,dev_434,"Which film has the director who died later, The Death Kiss or Her Luck In London?",Her Luck In London,gated_bandit_router,W1,-0.0118,0.0,0.0
low,dev_2,"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,gated_bandit_router,W3,-0.0457,0.0,0.0
low,dev_399,Who is the spouse of the director of film West Of Shanghai?,Maureen O'Sullivan,gated_bandit_router,W3,-0.0443,0.0,0.0
low,dev_474,"Who is Albert Iv, Prince Of Anhalt-Köthen's paternal grandfather?","Albert II, Prince of Anhalt-Zerbst",gated_bandit_router,W3,-0.0444,0.0,0.0
low,dev_569,What is the place of birth of the director of film Encino Man?,Albuquerque,gated_bandit_router,W3,-0.0631,0.0,0.0
low,dev_75,"Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?",yes,gated_bandit_router,W3,-0.0507,0.0,0.0
low,dev_134,What is the place of birth of Zhanna Nemtsova's father?,Sochi,gated_bandit_router,W3,-0.0658,0.0,0.0
low,dev_375,Who is the paternal grandfather of George De Salis?,"Jerome, 4th Count de Salis-Soglio",gated_bandit_router,W3,-0.0513,0.0,0.0
low,dev_199,Who is the paternal grandmother of Archduchess Dolores Of Austria?,Princess Maria Immaculata of Bourbon-Two Sicilies (1844–1899),gated_bandit_router,W3,-0.0464,0.0,0.0
low,dev_545,"Which film has the director who is older, King Of The Zombies or Mon Oncle Benjamin?",King of the Zombies,gated_bandit_router,W1,-0.0123,0.0,0.0
low,dev_241,"Which film was released more recently, Gaza Ghetto or Kull The Conqueror?",Kull The Conqueror,gated_bandit_router,W3,1.0982,1.0,1.0
low,dev_502,"Do both films, The Wild Frontier (Film) and The Sundowners (1960 Film), have the directors who are from the same country",yes,gated_bandit_router,W3,-0.0442,0.0,0.0
low,dev_592,What is the place of birth of the performer of song Are You Really Mine??,Camas,gated_bandit_router,W1,-0.0095,0.0,0.0
low,dev_405,"Where was the performer of song Lucky Me, Lucky You born?",Abilene,gated_bandit_router,W1,-0.0124,0.0,0.0
low,dev_286,"Are the bands The Catheters and Dark At Dawn, from the same country?",no,gated_bandit_router,W3,-0.012,0.0,0.0
low,dev_580,"Which film whose director was born first, Gangster'S Boy or Torno A Vivere Da Solo?",Gangster'S Boy,gated_bandit_router,W1,-0.0132,0.0,0.0
low,dev_470,Where did the director of film Don Juan (1922 Film) die?,Westerland,gated_bandit_router,W3,-0.0479,0.0,0.0
low,dev_380,Where did Bianca Riario's father die?,Forlì,gated_bandit_router,W3,-0.0424,0.0,0.0
low,dev_259,"Who is the paternal grandmother of Louis, Count Of Verdun?",Gerberge of Lorraine,gated_bandit_router,W3,-0.0505,0.0,0.0
low,dev_575,Who is Charles Xiii Of Sweden's paternal grandfather?,"Christian August of Holstein-Gottorp, Prince of Eutin",gated_bandit_router,W3,-0.0472,0.0,0.0
low,dev_535,Who is the spouse of the director of film På Solsiden?,Otto Carlmar,gated_bandit_router,W3,-0.0439,0.0,0.0
low,dev_183,"Who was born later, Marc De Clerck or Wiesław Perszke?",Wiesław Perszke,gated_bandit_router,W1,1.1535,1.0,1.0
low,dev_207,What is the place of birth of Empress Xu (Ming Dynasty)'s husband?,Nanjing,gated_bandit_router,W1,-0.0123,0.0,0.0
low,dev_300,"Who is younger, Nicolas Görtler or Michel De Salzmann?",Nicolas Görtler,gated_bandit_router,W1,-0.013,0.0,0.0
low,dev_180,Where was the performer of song Bag Skyerne born?,Århus,gated_bandit_router,W3,-0.0468,0.0,0.0
low,dev_548,"Which film has the director died later, Saturday Night Out or An Italian Romance?",A Rekindled Affair,gated_bandit_router,W1,-0.0122,0.0,0.0
low,dev_454,Where was the place of death of the director of film Scugnizzi?,Roma,gated_bandit_router,W3,-0.066,0.0,0.0
low,dev_450,"Who died first, Olaf Everson or Abdul Wahab Khan Tarzi?",Abdul Wahab Khan Tarzi,gated_bandit_router,W1,1.1531,1.0,1.0
low,dev_138,Where was the director of film Age-Old Friends born?,Winnipeg,gated_bandit_router,W3,-0.047,0.0,0.0
low,dev_459,"Who is the paternal grandmother of Sudeley Hanbury-Tracy, 3Rd Baron Sudeley?",Henrietta Susanna Tracy,gated_bandit_router,W3,-0.0054,0.0,0.0
low,dev_269,Who is the spouse of the performer of song Lolita (Leah Labelle Song)?,Rasual Butler,gated_bandit_router,W1,-0.0142,0.0,0.0
low,dev_354,Who is the paternal grandmother of Edward I Of England?,Isabella of Angoulême,gated_bandit_router,W1,-0.0123,0.0,0.0
low,dev_120,"Which school was established first, Whitehorse Manor Junior School or Sabawoon Rehabilitation Centre?",Sabawoon Rehabilitation Centre,gated_bandit_router,W1,-0.0125,0.0,0.0
low,dev_321,Who is the spouse of the performer of song Ängeln I Rummet?,Efva Attling,gated_bandit_router,W1,-0.0116,0.0,0.0
low,dev_440,Where did the director of film The Gallant Lords Of Bois-Doré die?,"Paris, France",gated_bandit_router,W3,-0.0445,0.0,0.0
low,dev_372,"Which film came out first, My Wife'S Lodger or Ko 2?",My Wife's Lodger,gated_bandit_router,W1,1.1544,1.0,1.0
low,dev_439,"Which film has the director born later, Cyclone Of The Saddle or Blind Corner?",Blind Corner,gated_bandit_router,W1,1.1548,1.0,1.0
low,dev_562,"Which album was released first, The Oak Ridge Boys Have Arrived or Beans And Fatback?",Beans and Fatback,gated_bandit_router,W1,1.1543,1.0,1.0
low,dev_498,Where was the place of burial of Gjon Kastrioti Ii's father?,Lezha,gated_bandit_router,W1,-0.0128,0.0,0.0
low,dev_239,"Where was the father of Augustus William, Duke Of Brunswick-Bevern born?",Osterholz,gated_bandit_router,W3,1.1028,1.0,1.0
low,dev_364,"Which film has the director who is older, When You'Re Strange or Vzdušné Torpédo 48?",Vzdušné torpédo 48,gated_bandit_router,W1,0.5233,0.0,0.5
low,dev_262,"Who lived longer, Csaba Pálinkás or Henry Scheffé?",Henry Scheffé,gated_bandit_router,W1,-0.013,0.0,0.0
low,dev_142,"Who is Prince Nicolas, Duke Of Ångermanland's mother?",Prinsessan Madeleine,gated_bandit_router,W3,-0.0437,0.0,0.0
low,dev_447,Where was the director of film High (Film) born?,Jozi,gated_bandit_router,W1,-0.012,0.0,0.0
low,dev_461,"Are the movies On A Clear Day You Can See Forever (Film) and Education Of A Prince, from the same country?",no,gated_bandit_router,W3,0.0058,0.0,0.0
low,dev_268,"Which film was released earlier, New Jersey Drive or It Happened At The World'S Fair?",It Happened At The World'S Fair,gated_bandit_router,W1,1.1528,1.0,1.0
low,dev_86,Who is Maria Luisa Of Savoy's father-in-law?,Louis of Bourbon,gated_bandit_router,W3,-0.0461,0.0,0.0
low,dev_595,Do director of film Just Married (1934 Film) and director of film The Thirteenth Commandment share the same nationality?,yes,gated_bandit_router,W3,-0.0449,0.0,0.0
low,dev_282,Where did Henry C. Lord's father graduate from?,Bowdoin College,gated_bandit_router,W3,-0.0418,0.0,0.0
low,dev_14,Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,embolic stroke,gated_bandit_router,W1,-0.0118,0.0,0.0
low,dev_129,When was the company that published American Scientist founded?,1886,gated_bandit_router,W3,-0.045,0.0,0.0
low,dev_441,"Which film came out earlier, It'S Our Life! or Maximum Ride (Film)?",La vie est à nous !,gated_bandit_router,W3,-0.0392,0.0,0.0
low,dev_30,"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Placer Sangriento,gated_bandit_router,W3,1.119,1.0,1.0
low,dev_301,Which country Anthemiolus's father is from?,Heraclius,gated_bandit_router,W1,-0.0114,0.0,0.0
low,dev_219,Where was the place of death of Suzanne Farrington's mother?,"London, England",gated_bandit_router,W3,-0.0636,0.0,0.0
low,dev_544,"Which film was released more recently, Bidasari or Tangled Trails?",Bidasari,gated_bandit_router,W3,-0.0198,0.0,0.0
low,dev_72,Are both Nikolsk Airport and Svobodny Airport located in the same country?,yes,gated_bandit_router,W3,-0.0455,0.0,0.0
low,dev_133,What nationality is the director of film They Call It Love?,U.S.A.,gated_bandit_router,W3,-0.0449,0.0,0.0
low,dev_191,"What is the date of death of Conan Ii, Duke Of Brittany's mother?",1080,gated_bandit_router,W3,-0.0444,0.0,0.0
low,dev_230,Who is the maternal grandmother of Felipe De Marichalar Y Borbón?,Queen Sofía of Spain,gated_bandit_router,W3,0.1909,0.0,0.2
low,dev_150,"Who was born later, Gideon Johnson Pillow or Holm Jølsen?",Holm Jølsen,gated_bandit_router,W1,1.1542,1.0,1.0
low,dev_236,"Who is the paternal grandfather of Richard Beauchamp, 1St Earl Of Worcester?","Thomas Beauchamp, 11th Earl of Warwick",gated_bandit_router,W3,0.207,0.0,0.25
low,dev_190,"Which film has the director died earlier, Lemonade Joe or Bountiful Summer?",Generous Summer,gated_bandit_router,W1,0.3491,0.0,0.3333
low,dev_297,Where was the place of death of George Thomas Orlando Bridgeman's father?,Weston Park,gated_bandit_router,W3,0.7012,0.0,0.6667
low,dev_265,"What is the date of death of Joan, Countess Of Blois's mother?",2 August 1288,gated_bandit_router,W3,-0.047,0.0,0.0
medium,dev_403,"Which film came out first, Natürlich Die Nelli or Cairo Declaration (Film)?",Natürlich die Nelli,bandit_router,W3,1.2152,1.0,1.0
medium,dev_168,Where was the place of death of Tamatoa Vi's father?,Huahine,bandit_router,W6,0.0033,0.0,0.0
medium,dev_197,Who is Prince Franz De Paula Of Liechtenstein's paternal grandfather?,Franz Joseph I,bandit_router,W2,0.7007,0.0,0.6
medium,dev_302,Where was the place of burial of the performer of song This Time (Waylon Jennings Song)?,State of Arizona,bandit_router,W2,-0.0246,0.0,0.0
medium,dev_186,"Which film has the director died first, Edge Of Doom or A Mother'S Secret?",A Mother'S Secret,bandit_router,W1,-0.0053,0.0,0.0
medium,dev_349,Who is the paternal grandfather of John Ii Of Baden?,"Bernard I, Margrave of Baden-Baden",bandit_router,W2,0.0189,0.0,0.0
medium,dev_367,"Which film has the director born first, Şaban, Son Of Şaban or East/West?",Şabanoğlu Şaban,bandit_router,W3,0.0009,0.0,0.0
medium,dev_39,"Who was born later, D'Arcy Coulson or Thomas William Adams?",D'Arcy Coulson,bandit_router,W1,1.2279,1.0,1.0
medium,dev_43,"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",Louis-Alexandre Berthier,bandit_router,W2,0.0656,0.0,0.0
medium,dev_216,"Are both villages, Mavrolithari and Ampelakia, Evros, located in the same country?",yes,bandit_router,W2,-0.0017,0.0,0.0
medium,dev_508,"Which film has the director died earlier, Dynamite Smith or A Son Of Satan?",Dynamite Smith,bandit_router,W3,0.0672,0.0,0.0
medium,dev_243,When was the company that published Woman'S Century founded?,"October 27, 1893",bandit_router,W2,0.0153,0.0,0.0
medium,dev_140,Where was the father of Eleonora Di Garzia Di Toledo born?,Villafranca del Bierzo,bandit_router,W6,-0.0228,0.0,0.0
medium,dev_383,"Which film has the director born earlier, Idols Of The Radio or Solos En La Madrugada?",Idols of the Radio,bandit_router,W1,-0.0059,0.0,0.0
medium,dev_557,Where was the place of death of the director of film Quatre-Vingt-Treize (Film)?,"Paris, France",bandit_router,W6,0.01,0.0,0.0
medium,dev_359,What is the date of death of the director of film Escándalo De Estrellas?,"August 7, 2004",bandit_router,W6,0.0332,0.0,0.0
medium,dev_257,Where does the director of film Ghost In The Machine (Film) work at?,McGill University College of British Columbia,bandit_router,W3,-0.0031,0.0,0.0
medium,dev_423,Why did the performer of song Ludlow Massacre (Song) die?,Huntington’s disease,bandit_router,W1,-0.0088,0.0,0.0
medium,dev_163,What is the place of birth of the performer of song I Wish (Gabrielle Song)?,Hackney,bandit_router,W6,0.5324,0.0,0.5
medium,dev_553,Where was the mother of Louise Sophie Of Hanau-Lichtenberg born?,Strossburi,bandit_router,W2,0.0038,0.0,0.0
