budget_mode,question_id,question,gold_answer,selected_method,workflow_id,utility_total,em,f1_proxy
low,403,"The Indian actor and philanthropist, who starred in ""Mera Damad,"" entered the film industry in what year?",1977,gated_bandit_router,W1,-0.0602,0.0,0.0
low,168,What was the 58th quadrennial American presidential election held after the 2016 Michigan Democratic primary?,United States presidential election of 2016,gated_bandit_router,W3,0.2657,0.0,0.25
low,197, Robert Smith founded the multinational company headquartered in what city?,"Golden Valley, Minnesota,",gated_bandit_router,W3,-0.0428,0.0,0.0
low,302,"What is the birthday of the actress who was the Duchess in ""The Revengers Tragedy""?",23 November 1946,gated_bandit_router,W1,-0.0101,0.0,0.0
low,186,Who were the directors of the 2009 American science fiction film starring the actor who played Dexter Morgan in the Show,Mark Neveldine and Brian Taylor,gated_bandit_router,W3,-0.0524,0.0,0.0
low,349,What year did the biographical-comedy-crime film directed by Steven Soderbergh about the highest-level corporate executi,2009,gated_bandit_router,W3,-0.0194,0.0,0.0
low,367,"For what ""first"" was Ivory Lee Brown's nephew credited for in Heisman Trophy balloting?",first freshman to finish as the runner-up,gated_bandit_router,W3,0.1289,0.0,0.1667
low,39,Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,gated_bandit_router,W3,-0.0444,0.0,0.0
low,43,The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,gated_bandit_router,W3,-0.0471,0.0,0.0
low,216,Ernest Foot was the best friend of the fighter pilot who had how many victories?,44,gated_bandit_router,W3,-0.0479,0.0,0.0
low,508,"In what London botanical garden can you find the fungus described by Elise Maud Wakefield as ""Lepiota""?",Kew Gardens,gated_bandit_router,W3,1.104,1.0,1.0
low,243,Salisbury Woodland Gardens links a zoo with a park designed and built under the watchful eye of who?,Thomas Mawson,gated_bandit_router,W3,-0.0497,0.0,0.0
low,140,The author of Sexual Politics attended which British University?,Oxford,gated_bandit_router,W1,-0.0118,0.0,0.0
low,383,"What national historic district is located near a village in the town of Philipstown, New York?",Valhalla Highlands Historic District,gated_bandit_router,W3,0.302,0.0,0.3333
low,557,Are Ganzhou and Jimo District both located in China?,yes,gated_bandit_router,W3,1.0557,1.0,1.0
low,359,Who were the producers of the show for which Chris McKay made his feature film directorial debut?,"Dan Lin, Roy Lee, Phil Lord and Christopher Miller",gated_bandit_router,W3,-0.0479,0.0,0.0
low,257," The name ""Mountbatten-Windsor"" applies to male-line descendants of the Queen without royal styles and titles which is a",Mountbatten family,gated_bandit_router,W3,-0.044,0.0,0.0
low,423,One of the coaches of Southern Methodist University also played what role at the Arizona State Sun Devils?,defensive coordinator,gated_bandit_router,W3,-0.0489,0.0,0.0
low,163,What British singer-songwriter hosted the 16th Annual Young Hollywood Awards?,Kelly Lee Osbourne,gated_bandit_router,W3,0.6578,0.0,0.6667
low,553,What was the highest ranking in the United States for a single written by an English multi-instrumentalist?,25,gated_bandit_router,W3,-0.0468,0.0,0.0
low,455,"What shallow water table aquifer is located near the county seat of Keith County, Nebraska?",Ogallala Aquifer,gated_bandit_router,W3,1.1034,1.0,1.0
low,509,"Who collaborated with Rihanna on the album release ""Numb""?",Eminem,gated_bandit_router,W3,-0.0218,0.0,0.0
low,145,"Who was born first, Erika Jayne or Marco Da Silva",Erika Jayne,gated_bandit_router,W1,-0.01,0.0,0.0
low,594,What type of engine powered both the Saab 36 and the Avro Vulcan?,British Bristol Olympus turbojet,gated_bandit_router,W3,0.5281,0.0,0.5
low,44,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which ,Nelson Rockefeller,gated_bandit_router,W3,-0.0012,0.0,0.0
low,434,The movies The Boatniks and The Great Locomotive Chase were both made by which production company?,Walt Disney Productions,gated_bandit_router,W3,-0.0183,0.0,0.0
low,2,"What science fantasy young adult series, told in first person, has a set of companion books narrating the stories of ens",Animorphs,gated_bandit_router,W3,1.1008,1.0,1.0
low,399,Wendy Ayche was featured in 2016 in an annual production created by Youtube and what other organization?,Portal A Interactive,gated_bandit_router,W3,-0.0518,0.0,0.0
low,474,Where was the telefilm shot that was based on the 1977 Katherine Paterson book?,"Edmonton, Alberta",gated_bandit_router,W3,1.1073,1.0,1.0
low,569,"The Company They Keep is a book written by Diana Pavlac Glyer, who is a professor at a university in Azusa, California, ",evangelical Christian,gated_bandit_router,W3,0.5292,0.0,0.5
low,75,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence,gated_bandit_router,W3,1.1024,1.0,1.0
low,134,This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwrit,Suicide Squad,gated_bandit_router,W3,1.1046,1.0,1.0
